2018-07-15-06-19-38    87F61938.FIT
2018-07-15-09-36-13    87F93613.FIT
2018-07-16-05-28-49    87G52849.FIT
2018-07-17-05-42-43    87H54243.FIT
2018-07-17-17-57-41    87HH5741.FIT
2018-07-18-05-28-25    87I52825.FIT
2018-07-19-05-26-22    87J52622.FIT
2018-07-20-05-33-32    87K53332.FIT
2018-07-21-06-06-33    87L60633.FIT
2018-07-21-10-40-05    87LA4005.FIT
2018-07-22-06-26-23    87M62623.FIT
2018-07-23-05-24-46    87N52446.FIT
2018-07-24-05-42-03    87O54203.FIT
2018-07-26-05-26-51    87Q52651.FIT
2018-07-27-05-36-09    87R53609.FIT
2018-07-27-15-35-58    87RF3558.FIT
2018-07-28-05-38-16    87S53816.FIT
2018-07-29-05-41-27    87T54127.FIT
2018-07-29-09-12-02    87T91202.FIT
2018-07-31-05-22-05    87V52205.FIT
2018-08-01-05-56-43    88155643.FIT
2018-08-02-05-29-54    88252954.FIT
2018-08-02-17-47-43    882H4743.FIT
2018-08-03-05-19-50    88351950.FIT
2018-08-04-06-04-02    88460402.FIT
2018-08-05-06-58-26    88565826.FIT
2018-08-07-05-28-51    88752851.FIT
2018-08-07-17-16-22    887H1622.FIT
2018-08-08-05-58-36    88855836.FIT
2018-08-09-05-30-16    88953016.FIT
2018-08-11-06-10-52    88B61052.FIT
2018-08-11-09-37-29    88B93729.FIT
2018-08-12-06-21-39    88C62139.FIT
2018-08-12-15-48-02    88CF4802.FIT
2018-08-14-05-37-17    88E53717.FIT
2018-08-15-05-37-39    88F53739.FIT
2018-08-15-18-45-28    88FI4528.FIT
2018-08-16-05-23-59    88G52359.FIT
2018-08-17-05-29-57    88H52957.FIT
2018-08-18-06-00-51    88I60051.FIT
2018-08-18-10-09-40    88IA0940.FIT
2018-08-19-05-50-30    88J55030.FIT
2018-08-19-09-47-21    88J94721.FIT
2018-08-19-09-48-47    88J94847.FIT
2018-08-21-05-31-09    88L53109.FIT
2018-08-22-05-22-26    88M52226.FIT
2018-08-22-16-36-14    88MG3614.FIT
2018-08-23-05-21-41    88N52141.FIT
2018-08-25-05-46-08    88P54608.FIT
2018-08-25-08-55-09    88P85509.FIT
2018-08-26-06-10-56    88Q61056.FIT
2018-08-26-10-11-02    88QA1102.FIT
2018-08-28-05-39-40    88S53940.FIT
2018-08-29-05-48-22    88T54822.FIT
2018-08-30-05-21-53    88U52153.FIT
2018-08-30-16-29-44    88UG2944.FIT
2018-08-31-05-25-34    88V52534.FIT
2018-09-01-05-58-21    89155821.FIT
2018-09-01-10-19-42    891A1942.FIT
2018-09-02-06-11-24    89261124.FIT
2018-09-02-09-20-49    89292049.FIT
2018-09-04-05-27-41    89452741.FIT
2018-09-04-15-51-20    894F5120.FIT
2018-09-05-05-21-12    89552112.FIT
2018-09-06-05-18-44    89651844.FIT
2018-09-06-16-36-32    896G3632.FIT
2018-09-07-05-36-57    89753657.FIT
2018-09-08-06-32-12    89863212.FIT
2018-09-09-06-37-33    89963733.FIT
2018-09-09-15-01-00    899F0100.FIT
2018-09-11-06-18-19    89B61819.FIT
2018-09-11-16-23-02    89BG2302.FIT
2018-09-12-05-29-54    89C52954.FIT
2018-09-12-17-06-53    89CH0653.FIT
2018-09-13-05-24-48    89D52448.FIT
2018-09-14-05-49-13    89E54913.FIT
2018-09-14-16-35-55    89EG3555.FIT
2018-09-15-06-13-09    89F61309.FIT
2018-09-15-10-42-34    89FA4234.FIT
2018-09-16-06-08-52    89G60852.FIT
2018-09-16-09-51-32    89G95132.FIT
2018-09-18-05-44-10    89I54410.FIT
2018-09-18-16-22-24    89IG2224.FIT
2018-09-19-05-49-49    89J54949.FIT
2018-09-19-16-14-12    89JG1412.FIT
2018-09-20-05-24-08    89K52408.FIT
2018-09-20-16-30-30    89KG3030.FIT
2018-09-21-05-48-34    89L54834.FIT
2018-09-22-05-50-08    89M55008.FIT
2018-09-23-06-37-24    89N63724.FIT
2018-09-23-16-39-01    89NG3901.FIT
2018-09-24-16-48-44    89OG4844.FIT
2018-09-25-05-26-42    89P52642.FIT
2018-09-25-16-40-25    89PG4025.FIT
2018-09-26-05-40-25    89Q54025.FIT
2018-09-26-16-42-42    89QG4242.FIT
2018-09-27-05-26-47    89R52647.FIT
2018-09-28-05-31-44    89S53144.FIT
2018-09-29-06-48-11    89T64811.FIT
2018-09-30-09-20-15    89U92015.FIT
2018-10-02-05-23-21    8A252321.FIT
2018-10-02-17-26-34    8A2H2634.FIT
2018-10-03-05-35-12    8A353512.FIT
2018-10-03-16-41-01    8A3G4101.FIT
2018-10-04-05-22-39    8A452239.FIT
